FaceID,StartTime,EndTime,DurationSeconds,RunTimestamp
0,1.04,3.60,2.56,2025-08-10 12:45:03
1,1.12,4.40,3.28,2025-08-10 12:45:03
2,1.76,4.72,2.96,2025-08-10 12:45:03
3,2.40,4.16,1.76,2025-08-10 12:45:03
4,3.44,5.68,2.24,2025-08-10 12:45:03
5,8.56,19.36,10.80,2025-08-10 12:45:03
0,1.04,3.60,2.56,2025-08-10 12:48:45
1,1.12,4.40,3.28,2025-08-10 12:48:45
5,1.76,4.72,2.96,2025-08-10 12:48:45
3,2.40,4.16,1.76,2025-08-10 12:48:45
4,3.44,5.68,2.24,2025-08-10 12:48:45
6,8.56,19.36,10.80,2025-08-10 12:48:45
